MES	ANTONIO NARIÑO	BARRIOS UNIDOS	BOSA	CANDELARIA	CHAPINERO	CIUDAD BOLIVAR	ENGATIVA	FONTIBON	KENNEDY	LOS MARTIRES	PUENTE ARANDA	RAFAEL URIBE URIBE	SAN CRISTOBAL	SANTA FE	SUBA	TEUSAQUILLO	TUNJUELITO	USAQUEN	USME
01 2016	42	135	94	12	128	102	223	143	218	61	146	50	50	47	220	97	59	205	42
02 2016	36	115	99	15	187	101	241	188	297	75	192	67	61	78	318	139	74	264	39
03 2016	53	154	130	13	176	99	262	212	285	89	181	71	78	77	268	146	63	273	41
04 2016	50	162	133	12	213	94	344	192	362	86	203	78	88	68	302	169	61	287	47
05 2016	78	142	149	6	234	133	303	245	351	105	210	73	75	85	329	130	72	359	51
06 2016	71	148	107	15	207	119	267	266	360	105	198	79	66	68	260	149	77	292	57
07 2016	53	177	123	12	181	113	306	254	311	100	205	79	75	92	254	146	90	247	61
08 2016	54	193	151	17	213	118	297	243	345	96	202	80	93	106	269	168	72	294	51
09 2016	53	153	132	22	219	127	296	272	342	107	214	90	77	93	286	168	82	332	71
10 2016	55	179	128	21	245	131	328	267	392	99	233	93	66	93	286	166	102	327	63
11 2016	66	177	145	15	230	139	323	252	400	142	219	91	73	83	280	172	86	346	77
12 2016	55	150	133	14	185	113	297	259	346	111	206	82	61	77	264	128	94	312	54